Designator,Mid X,Mid Y,Rotation,Layer
C1,248.793,-67.6448,180.0,bottom
C2,248.793,-69.215,180.0,bottom
C3,232.8672,-64.4398,270.0,bottom
C4,230.8476,-64.4398,270.0,bottom
C5,236.0552,-63.2968,0.0,bottom
C6,236.2352,-69.5452,180.0,bottom
C7,245.364,-67.3608,0.0,top
C8,245.364,-65.8114,0.0,top
D1,243.044,-62.8142,180.0,bottom
D2,243.0948,-60.6044,180.0,bottom
D3,247.461,-60.8584,0.0,bottom
D4,247.461,-58.9788,0.0,bottom
D5,227.4317,-61.4934,0.0,bottom
D6,246.4156,-73.8886,180.0,bottom
D7,246.4202,-75.0824,180.0,bottom
D8,196.977,-59.4107,90.0,top
D9,199.5678,-59.4107,90.0,top
J1,259.999,-66.6242,0.0,top
J2,243.5626,-52.705,180.0,top
J3,247.0164,-78.8852,180.0,top
L1,235.1532,-61.2648,0.0,bottom
Q1,242.1484,-74.7682,270.0,top
Q2,245.9076,-74.7682,270.0,top
Q3,227.0529,-65.4914,180.0,bottom
R1,238.034,-74.3204,0.0,top
R10,228.1682,-60.071,180.0,bottom
R11,248.0924,-71.5264,180.0,bottom
R12,248.0924,-73.8886,180.0,bottom
R13,248.0924,-75.0824,180.0,bottom
R16,203.3778,-60.1472,270.0,top
R17,204.5462,-60.1472,270.0,top
R2,238.034,-75.3364,0.0,top
R3,248.0818,-70.5358,0.0,bottom
R4,215.1888,-75.7174,0.0,top
R5,246.7,-64.5414,180.0,bottom
R6,246.7,-65.532,0.0,bottom
R7,236.2352,-68.58,180.0,bottom
R8,236.2306,-67.5894,0.0,bottom
R9,228.1682,-63.0428,180.0,bottom
S1,191.0334,-61.8744,270.0,top
S2,191.0334,-70.0786,270.0,top
S3,197.5138,-52.234,180.0,top
S4,205.5402,-52.2616,180.0,top
S5,229.6702,-80.7328,0.0,top
U1,202.9056,-72.175,180.0,top
U2,243.7154,-69.8246,0.0,bottom
U3,251.8596,-66.4408,90.0,bottom
U4,243.8852,-58.8704,180.0,bottom
U5,236.3082,-65.6198,90.0,bottom
U6,225.0501,-66.8439,180.0,top
